(0, 1, 112.7)
(0, 2, 114.7)
(0, 3, 109.7)
(0, 4, 108.7)
(0, 5, 112.7)
(0, 6, 112.7)
(0, 7, 117.7)
(0, 8, 115.7)
(0, 9, 109.7)
(0, 10, 108.7)
(0, 11, 111.7)
(0, 12, 114.7)
(0, 13, 112.7)
(0, 14, 108.7)
(0, 15, 116.7)
(0, 16, 108.7)
(0, 17, 110.7)
(0, 18, 108.7)
(0, 19, 111.7)
(0, 20, 114.7)
(0, 21, 116.7)
(0, 22, 116.7)
(0, 23, 113.7)
(0, 24, 111.7)
(0, 25, 115.7)
(0, 26, 108.7)
(0, 27, 110.7)
(0, 28, 110.7)
(0, 29, 117.7)
(1, 2, 114.7)
(1, 3, 108.7)
(1, 4, 116.7)
(1, 5, 111.7)
(1, 6, 112.7)
(1, 7, 114.7)
(1, 8, 116.7)
(1, 9, 115.7)
(1, 10, 115.7)
(1, 11, 114.7)
(1, 12, 115.7)
(1, 13, 111.7)
(1, 14, 113.7)
(1, 15, 115.7)
(1, 16, 115.7)
(1, 17, 114.7)
(1, 18, 108.7)
(1, 19, 109.7)
(1, 20, 108.7)
(1, 21, 116.7)
(1, 22, 108.7)
(1, 23, 109.7)
(1, 24, 110.7)
(1, 25, 117.7)
(1, 26, 109.7)
(1, 27, 112.7)
(1, 28, 117.7)
(1, 29, 108.7)
(2, 3, 109.7)
(2, 4, 116.7)
(2, 5, 116.7)
(2, 6, 111.7)
(2, 7, 110.7)
(2, 8, 111.7)
(2, 9, 116.7)
(2, 10, 108.7)
(2, 11, 108.7)
(2, 12, 110.7)
(2, 13, 112.7)
(2, 14, 116.7)
(2, 15, 114.7)
(2, 16, 113.7)
(2, 17, 113.7)
(2, 18, 113.7)
(2, 19, 112.7)
(2, 20, 112.7)
(2, 21, 112.7)
(2, 22, 116.7)
(2, 23, 113.7)
(2, 24, 109.7)
(2, 25, 115.7)
(2, 26, 108.7)
(2, 27, 115.7)
(2, 28, 108.7)
(2, 29, 110.7)
(3, 4, 114.7)
(3, 5, 110.7)
(3, 6, 112.7)
(3, 7, 115.7)
(3, 8, 115.7)
(3, 9, 110.7)
(3, 10, 115.7)
(3, 11, 110.7)
(3, 12, 110.7)
(3, 13, 113.7)
(3, 14, 117.7)
(3, 15, 112.7)
(3, 16, 111.7)
(3, 17, 115.7)
(3, 18, 115.7)
(3, 19, 110.7)
(3, 20, 117.7)
(3, 21, 114.7)
(3, 22, 113.7)
(3, 23, 110.7)
(3, 24, 108.7)
(3, 25, 117.7)
(3, 26, 108.7)
(3, 27, 112.7)
(3, 28, 116.7)
(3, 29, 110.7)
(4, 5, 113.7)
(4, 6, 112.7)
(4, 7, 112.7)
(4, 8, 110.7)
(4, 9, 116.7)
(4, 10, 110.7)
(4, 11, 110.7)
(4, 12, 109.7)
(4, 13, 113.7)
(4, 14, 115.7)
(4, 15, 116.7)
(4, 16, 114.7)
(4, 17, 108.7)
(4, 18, 115.7)
(4, 19, 113.7)
(4, 20, 116.7)
(4, 21, 108.7)
(4, 22, 114.7)
(4, 23, 112.7)
(4, 24, 110.7)
(4, 25, 111.7)
(4, 26, 109.7)
(4, 27, 117.7)
(4, 28, 109.7)
(4, 29, 109.7)
(5, 6, 108.7)
(5, 7, 110.7)
(5, 8, 116.7)
(5, 9, 116.7)
(5, 10, 114.7)
(5, 11, 108.7)
(5, 12, 108.7)
(5, 13, 117.7)
(5, 14, 113.7)
(5, 15, 115.7)
(5, 16, 114.7)
(5, 17, 115.7)
(5, 18, 117.7)
(5, 19, 110.7)
(5, 20, 111.7)
(5, 21, 115.7)
(5, 22, 114.7)
(5, 23, 116.7)
(5, 24, 114.7)
(5, 25, 113.7)
(5, 26, 114.7)
(5, 27, 109.7)
(5, 28, 115.7)
(5, 29, 115.7)
(6, 7, 110.7)
(6, 8, 116.7)
(6, 9, 109.7)
(6, 10, 112.7)
(6, 11, 115.7)
(6, 12, 116.7)
(6, 13, 112.7)
(6, 14, 116.7)
(6, 15, 116.7)
(6, 16, 114.7)
(6, 17, 117.7)
(6, 18, 117.7)
(6, 19, 113.7)
(6, 20, 113.7)
(6, 21, 116.7)
(6, 22, 114.7)
(6, 23, 115.7)
(6, 24, 109.7)
(6, 25, 111.7)
(6, 26, 114.7)
(6, 27, 112.7)
(6, 28, 112.7)
(6, 29, 108.7)
(7, 8, 110.7)
(7, 9, 110.7)
(7, 10, 117.7)
(7, 11, 115.7)
(7, 12, 114.7)
(7, 13, 108.7)
(7, 14, 114.7)
(7, 15, 116.7)
(7, 16, 113.7)
(7, 17, 117.7)
(7, 18, 108.7)
(7, 19, 115.7)
(7, 20, 117.7)
(7, 21, 108.7)
(7, 22, 111.7)
(7, 23, 111.7)
(7, 24, 116.7)
(7, 25, 112.7)
(7, 26, 115.7)
(7, 27, 111.7)
(7, 28, 111.7)
(7, 29, 109.7)
(8, 9, 115.7)
(8, 10, 115.7)
(8, 11, 114.7)
(8, 12, 109.7)
(8, 13, 115.7)
(8, 14, 115.7)
(8, 15, 117.7)
(8, 16, 115.7)
(8, 17, 113.7)
(8, 18, 108.7)
(8, 19, 116.7)
(8, 20, 114.7)
(8, 21, 116.7)
(8, 22, 116.7)
(8, 23, 114.7)
(8, 24, 110.7)
(8, 25, 112.7)
(8, 26, 109.7)
(8, 27, 115.7)
(8, 28, 108.7)
(8, 29, 112.7)
(9, 10, 108.7)
(9, 11, 111.7)
(9, 12, 112.7)
(9, 13, 112.7)
(9, 14, 114.7)
(9, 15, 113.7)
(9, 16, 110.7)
(9, 17, 114.7)
(9, 18, 112.7)
(9, 19, 117.7)
(9, 20, 108.7)
(9, 21, 116.7)
(9, 22, 108.7)
(9, 23, 116.7)
(9, 24, 109.7)
(9, 25, 109.7)
(9, 26, 112.7)
(9, 27, 112.7)
(9, 28, 112.7)
